Order ID,Amount,Profit,Quantity,Category,Sub-Category,Order Date,CustomerName,State,City,Profit Margin %,Order Month,Order Month Name,Order Year,Is Loss Making,Unit Price
B-25601,1275.0,-1148.0,7,Furniture,Bookcases,2018-04-01,Bharat,Gujarat,Ahmedabad,-90.04,2018-04-01,Apr-2018,2018,True,182.14
B-25601,66.0,-12.0,5,Clothing,Stole,2018-04-01,Bharat,Gujarat,Ahmedabad,-18.18,2018-04-01,Apr-2018,2018,True,13.2
B-25601,8.0,-2.0,3,Clothing,Hankerchief,2018-04-01,Bharat,Gujarat,Ahmedabad,-25.0,2018-04-01,Apr-2018,2018,True,2.67
B-25601,80.0,-56.0,4,Electronics,Electronic Games,2018-04-01,Bharat,Gujarat,Ahmedabad,-70.0,2018-04-01,Apr-2018,2018,True,20.0
B-25602,168.0,-111.0,2,Electronics,Phones,2018-04-01,Pearl,Maharashtra,Pune,-66.07,2018-04-01,Apr-2018,2018,True,84.0
B-25602,424.0,-272.0,5,Electronics,Phones,2018-04-01,Pearl,Maharashtra,Pune,-64.15,2018-04-01,Apr-2018,2018,True,84.8
B-25602,2617.0,1151.0,4,Electronics,Phones,2018-04-01,Pearl,Maharashtra,Pune,43.98,2018-04-01,Apr-2018,2018,False,654.25
B-25602,561.0,212.0,3,Clothing,Saree,2018-04-01,Pearl,Maharashtra,Pune,37.79,2018-04-01,Apr-2018,2018,False,187.0
B-25602,119.0,-5.0,8,Clothing,Saree,2018-04-01,Pearl,Maharashtra,Pune,-4.2,2018-04-01,Apr-2018,2018,True,14.88
B-25603,1355.0,-60.0,5,Clothing,Trousers,2018-04-03,Jahan,Madhya Pradesh,Bhopal,-4.43,2018-04-01,Apr-2018,2018,True,271.0
B-25603,24.0,-30.0,1,Furniture,Chairs,2018-04-03,Jahan,Madhya Pradesh,Bhopal,-125.0,2018-04-01,Apr-2018,2018,True,24.0
B-25603,193.0,-166.0,3,Clothing,Saree,2018-04-03,Jahan,Madhya Pradesh,Bhopal,-86.01,2018-04-01,Apr-2018,2018,True,64.33
B-25603,180.0,5.0,3,Clothing,Trousers,2018-04-03,Jahan,Madhya Pradesh,Bhopal,2.78,2018-04-01,Apr-2018,2018,False,60.0
B-25603,116.0,16.0,4,Clothing,Stole,2018-04-03,Jahan,Madhya Pradesh,Bhopal,13.79,2018-04-01,Apr-2018,2018,False,29.0
B-25603,107.0,36.0,6,Clothing,Stole,2018-04-03,Jahan,Madhya Pradesh,Bhopal,33.64,2018-04-01,Apr-2018,2018,False,17.83
B-25603,12.0,1.0,2,Clothing,Hankerchief,2018-04-03,Jahan,Madhya Pradesh,Bhopal,8.33,2018-04-01,Apr-2018,2018,False,6.0
B-25603,38.0,18.0,1,Clothing,Kurti,2018-04-03,Jahan,Madhya Pradesh,Bhopal,47.37,2018-04-01,Apr-2018,2018,False,38.0
B-25604,65.0,17.0,2,Clothing,T-shirt,2018-04-03,Divsha,Rajasthan,Jaipur,26.15,2018-04-01,Apr-2018,2018,False,32.5
B-25604,157.0,5.0,9,Clothing,Saree,2018-04-03,Divsha,Rajasthan,Jaipur,3.18,2018-04-01,Apr-2018,2018,False,17.44
B-25605,75.0,0.0,7,Clothing,Saree,2018-04-05,Kasheen,West Bengal,Kolkata,0.0,2018-04-01,Apr-2018,2018,False,10.71
B-25606,87.0,4.0,2,Clothing,Shirt,2018-04-06,Hazel,Karnataka,Bangalore,4.6,2018-04-01,Apr-2018,2018,False,43.5
B-25607,50.0,15.0,4,Clothing,Leggings,2018-04-06,Sonakshi,Jammu and Kashmir,Kashmir,30.0,2018-04-01,Apr-2018,2018,False,12.5
B-25608,1364.0,-1864.0,5,Furniture,Tables,2018-04-08,Aarushi,Tamil Nadu,Chennai,-136.66,2018-04-01,Apr-2018,2018,True,272.8
B-25608,476.0,0.0,3,Furniture,Chairs,2018-04-08,Aarushi,Tamil Nadu,Chennai,0.0,2018-04-01,Apr-2018,2018,False,158.67
B-25608,257.0,23.0,5,Clothing,Hankerchief,2018-04-08,Aarushi,Tamil Nadu,Chennai,8.95,2018-04-01,Apr-2018,2018,False,51.4
B-25608,856.0,385.0,6,Electronics,Printers,2018-04-08,Aarushi,Tamil Nadu,Chennai,44.98,2018-04-01,Apr-2018,2018,False,142.67
B-25609,485.0,29.0,4,Electronics,Electronic Games,2018-04-09,Jitesh,Uttar Pradesh,Lucknow,5.98,2018-04-01,Apr-2018,2018,False,121.25
